"Codigo","TituloConta","DataLancamento","CodigoEvento","Valor"
"0101010301","Aplicação Banco Um","2021-03-17","10.0.0007","1350.4300"
"0101010301","Aplicação Banco Um","2021-03-31","10.0.0007","100.9400"
"0101010301","Aplicação Banco Um","2021-04-01","10.0.0007","49.8400"
"0101010301","Aplicação Banco Um","2021-03-31","10.0.0007","109960.2700"
"0101010301","Aplicação Banco Um","2021-04-15","10.0.0007","5446.8900"
"0101010301","Aplicação Banco Um","2021-04-29","10.0.0007","9642.7400"
"0101010301","Aplicação Banco Um","2021-04-22","10.0.0007","19621.3100"
"0101010301","Aplicação Banco Um","2021-05-12","10.0.0007","19658.8000"
"0101010301","Aplicação Banco Um","2021-05-28","10.0.0007","296.2000"
"0101010301","Aplicação Banco Um","2021-06-30","10.0.0007","5065.3800"
"0101010301","Aplicação Banco Um","2021-07-01","10.0.0007","49.8400"
"0101010301","Aplicação Banco Um","2021-08-25","10.0.0007","19610.3200"
"0101010301","Aplicação Banco Um","2021-08-26","10.0.0007","236.3700"
"0101010301","Aplicação Banco Um","2021-08-31","10.0.0007","241.1200"
"0101010301","Aplicação Banco Um","2021-08-30","10.0.0007","30260.3800"
"0101010301","Aplicação Banco Um","2021-09-15","10.0.0007","2403.3000"
"0101010301","Aplicação Banco Um","2021-09-24","10.0.0007","73231.7900"
"0101010301","Aplicação Banco Um","2021-09-30","10.0.0007","18653.7400"
"0101010301","Aplicação Banco Um","2021-10-01","10.0.0007","49.8400"
"0101010301","Aplicação Banco Um","2021-11-19","10.0.0007","216502.7400"
"0101010301","Aplicação Banco Um","2021-11-30","10.0.0007","272.7400"
"0101010301","Aplicação Banco Um","2021-12-15","10.0.0007","37665.8700"
"0101010301","Aplicação Banco Um","2021-12-30","10.0.0007","121.2200"
"0101010301","Aplicação Banco Um","2022-01-03","10.0.0007","49.8400"
"0101010301","Aplicação Banco Um","2022-03-11","10.0.0007","624.2900"
"0101010301","Aplicação Banco Um","2022-03-04","10.0.0007","6.2700"
"0101010301","Aplicação Banco Um","2022-03-11","10.0.0007","613.9300"
"0101010301","Aplicação Banco Um","2022-03-16","10.0.0007","8405.5100"
"0101010301","Aplicação Banco Um","2022-03-31","10.0.0007","145.9200"
"0101010301","Aplicação Banco Um","2022-04-08","10.0.0007","1239.9900"
"0101010301","Aplicação Banco Um","2022-04-01","10.0.0007","49.8400"
"0101010301","Aplicação Banco Um","2022-04-04","10.0.0007","195071.2300"
"0101010301","Aplicação Banco Um","2022-04-18","10.0.0007","11.9900"
"0101010301","Aplicação Banco Um","2022-05-16","10.0.0007","35881.3800"
"0101010301","Aplicação Banco Um","2022-05-19","10.0.0007","478.5900"
"0101010301","Aplicação Banco Um","2022-05-31","10.0.0007","485.2500"
"0101010301","Aplicação Banco Um","2022-06-20","10.0.0007","21843.1900"
"0101010301","Aplicação Banco Um","2022-07-20","10.0.0007","22629.1900"
"0101010301","Aplicação Banco Um","2022-06-30","10.0.0007","173.3900"
"0101010301","Aplicação Banco Um","2022-07-01","10.0.0007","52.3200"
"0101010301","Aplicação Banco Um","2022-08-31","10.0.0007","40220.8100"
"0101010301","Aplicação Banco Um","2022-09-20","10.0.0007","41001.2500"
"0101010301","Aplicação Banco Um","2022-09-01","10.0.0007","7551.0000"
"0101010301","Aplicação Banco Um","2022-08-30","10.0.0007","274.9900"
"0101010301","Aplicação Banco Um","2022-08-31","10.0.0007","569.2700"
"0101010301","Aplicação Banco Um","2022-09-30","10.0.0007","189.6300"
"0101010301","Aplicação Banco Um","2022-10-03","10.0.0007","52.3200"
"0101010301","Aplicação Banco Um","2022-11-30","10.0.0007","578.2400"
"0101010301","Aplicação Banco Um","2022-12-20","10.0.0007","19448.8600"
"0101010301","Aplicação Banco Um","2022-12-29","10.0.0007","239.3600"
"0101010301","Aplicação Banco Um","2023-01-19","10.0.0007","20373.5500"
"0101010301","Aplicação Banco Um","2023-01-02","10.0.0007","57.5500"
"0101010301","Aplicação Banco Um","2023-01-06","10.0.0007","5.1300"
"0101010301","Aplicação Banco Um","2023-06-16","10.0.0007","11148.0500"
"0101010301","Aplicação Banco Um","2023-06-12","10.0.0007","553.6000"
"0101010301","Aplicação Banco Um","2023-08-04","10.0.0007","540000.0000"
"0101010301","Aplicação Banco Um","2023-03-03","10.0.0007","600.5100"
"0101010301","Aplicação Banco Um","2023-03-10","10.0.0007","344.8800"
"0101010301","Aplicação Banco Um","2023-03-22","10.0.0007","4130.4800"
"0101010301","Aplicação Banco Um","2023-03-22","10.0.0007","560.9500"
"0101010301","Aplicação Banco Um","2023-04-03","10.0.0007","57.5400"
"0101010301","Aplicação Banco Um","2023-03-31","10.0.0007","243.8800"
"0101010301","Aplicação Banco Um","2023-05-15","10.0.0007","7179.0000"
"0101010301","Aplicação Banco Um","2023-05-19","10.0.0007","17363.3700"
"0101010301","Aplicação Banco Um","2023-05-10","10.0.0007","246483.4200"
"0101010301","Aplicação Banco Um","2023-05-10","10.0.0007","107001.6900"
"0101010301","Aplicação Banco Um","2023-05-18","10.0.0007","260421.0300"
"0101010301","Aplicação Banco Um","2023-05-31","10.0.0007","10000.0000"
"0101010301","Aplicação Banco Um","2023-06-30","10.0.0007","234.5900"
"0101010301","Aplicação Banco Um","2023-07-03","10.0.0007","57.5400"
"0101010301","Aplicação Banco Um","2023-08-18","10.0.0007","10311.1700"
"0101010301","Aplicação Banco Um","2023-08-25","10.0.0007","468.8000"
"0101010301","Aplicação Banco Um","2023-08-04","10.0.0007","2057.9000"
"0101010301","Aplicação Banco Um","2023-09-20","10.0.0007","11532.8300"
"0101010301","Aplicação Banco Um","2023-09-01","10.0.0007","3685.3800"
"0101010301","Aplicação Banco Um","2023-08-18","10.0.0007","99403.4000"
"0101010301","Aplicação Banco Um","2023-08-30","10.0.0007","581.6000"
"0101010301","Aplicação Banco Um","2023-08-31","10.0.0007","250398.6300"
"0101010301","Aplicação Banco Um","2023-10-26","10.0.0007","2057.8800"
"0101010301","Aplicação Banco Um","2023-11-16","10.0.0007","326.7200"
"0101010301","Aplicação Banco Um","2023-11-21","10.0.0007","6332.0600"
"0101010301","Aplicação Banco Um","2023-11-30","10.0.0007","558.5000"
"0101010301","Aplicação Banco Um","2023-12-01","10.0.0007","5009.9600"
"0101010301","Aplicação Banco Um","2023-11-21","10.0.0007","704091.6200"
"0101010301","Aplicação Banco Um","2023-12-19","10.0.0007","7179.0000"
"0101010301","Aplicação Banco Um","2023-12-14","10.0.0007","700.0000"
"0101010301","Aplicação Banco Um","2023-12-15","10.0.0007","6999.8300"
"0101010301","Aplicação Banco Um","2023-12-27","10.0.0007","6714.6700"
"0101010301","Aplicação Banco Um","2023-12-28","10.0.0007","237.1300"
"0101010301","Aplicação Banco Um","2023-12-28","10.0.0007","5220.6500"
"0101010301","Aplicação Banco Um","2024-01-04","10.0.0007","18869.3500"
"0101010301","Aplicação Banco Um","2024-01-15","10.0.0007","790.0000"
"0101010301","Aplicação Banco Um","2024-01-02","10.0.0007","61.2600"
"0101010301","Aplicação Banco Um","2024-02-16","10.0.0007","800.0000"
"0101010301","Aplicação Banco Um","2024-01-24","10.0.0007","454285.7500"
"0101010301","Aplicação Banco Um","2024-02-05","10.0.0007","19499.1600"
"0101010301","Aplicação Banco Um","2024-02-05","10.0.0007","8.5200"
"0101010301","Aplicação Banco Um","2024-02-20","10.0.0007","6887.0700"
"0101010301","Aplicação Banco Um","2024-03-14","10.0.0007","800.0000"
"0101010301","Aplicação Banco Um","2023-10-19","10.0.0007","18769.3800"
"0101010301","Aplicação Banco Um","2023-09-29","10.0.0007","231.5200"
"0101010301","Aplicação Banco Um","2023-10-02","10.0.0007","402.3100"
"0101010301","Aplicação Banco Um","2023-10-04","10.0.0007","66467.4100"
"0101010301","Aplicação Banco Um","2023-10-03","10.0.0007","17319.8100"
"0101010301","Aplicação Banco Um","2024-02-15","10.0.0007","7217.3400"
"0101010301","Aplicação Banco Um","2024-02-20","10.0.0007","270757.5600"
"0101010301","Aplicação Banco Um","2024-02-21","10.0.0007","4000.0000"
"0101010301","Aplicação Banco Um","2024-03-08","10.0.0007","15486.6300"
"0101010301","Aplicação Banco Um","2024-02-26","10.0.0007","258523.9500"
"0101010301","Aplicação Banco Um","2024-02-29","10.0.0007","614.4300"
"0101010301","Aplicação Banco Um","2024-03-20","10.0.0007","7659.5400"
"0101010301","Aplicação Banco Um","2024-03-28","10.0.0007","4101.9400"
"0101010301","Aplicação Banco Um","2024-04-01","10.0.0007","981.2400"
"0101010301","Aplicação Banco Um","2024-03-19","10.0.0007","6189.1100"
"0101010301","Aplicação Banco Um","2024-03-14","10.0.0007","1914.4000"
"0101010301","Aplicação Banco Um","2024-05-20","10.0.0007","14743.6300"
"0101010301","Aplicação Banco Um","2024-06-20","10.0.0007","14843.6400"
"0101010301","Aplicação Banco Um","2024-03-27","10.0.0007","284.0500"
"0101010301","Aplicação Banco Um","2024-08-30","10.0.0007","6864.2700"
"0101010301","Aplicação Banco Um","2024-03-28","10.0.0007","1379.5700"
"0101010301","Aplicação Banco Um","2024-04-12","10.0.0007","850.0000"
"0101010301","Aplicação Banco Um","2024-04-03","10.0.0007","500.0000"
"0101010301","Aplicação Banco Um","2024-05-15","10.0.0007","850.0000"
"0101010301","Aplicação Banco Um","2024-06-14","10.0.0007","850.0000"
"0101010301","Aplicação Banco Um","2024-05-27","10.0.0007","4000.0000"
"0101010301","Aplicação Banco Um","2024-07-01","10.0.0007","981.2400"
"0101010301","Aplicação Banco Um","2024-06-21","10.0.0007","674.7800"
"0101010301","Aplicação Banco Um","2024-06-28","10.0.0007","282.9800"
"0101010301","Aplicação Banco Um","2024-07-12","10.0.0007","850.0000"
"0101010301","Aplicação Banco Um","2024-08-14","10.0.0007","870.0000"
"0101010301","Aplicação Banco Um","2024-08-20","10.0.0007","4527.3300"
"0101010301","Aplicação Banco Um","2024-09-20","10.0.0007","5213.6100"
"0101010301","Aplicação Banco Um","2024-07-18","10.0.0007","35000.0000"
"0101010301","Aplicação Banco Um","2024-07-22","10.0.0007","58319.8100"
"0101010301","Aplicação Banco Um","2024-07-24","10.0.0007","1328.3700"
"0101010301","Aplicação Banco Um","2024-09-13","10.0.0007","880.0000"
"0101010301","Aplicação Banco Um","2024-08-01","10.0.0007","173154.1900"
"0101010301","Aplicação Banco Um","2024-09-04","10.0.0007","4022.1900"
"0101010301","Aplicação Banco Um","2024-08-15","10.0.0007","8035.2300"
"0101010301","Aplicação Banco Um","2024-11-21","10.0.0007","4744.9100"
"0101010301","Aplicação Banco Um","2024-12-20","10.0.0007","5377.1100"
"0101010301","Aplicação Banco Um","2024-08-30","10.0.0007","693.7400"
"0101010301","Aplicação Banco Um","2024-08-27","10.0.0007","14000.0000"
"0101010301","Aplicação Banco Um","2024-10-14","10.0.0007","880.0000"
"0101010301","Aplicação Banco Um","2024-11-14","10.0.0007","900.0000"
"0101010301","Aplicação Banco Um","2024-12-13","10.0.0007","900.0000"
"0101010301","Aplicação Banco Um","2024-10-01","10.0.0007","981.2400"
"0101010301","Aplicação Banco Um","2024-09-27","10.0.0007","258.5400"
"0101010301","Aplicação Banco Um","2024-11-06","10.0.0007","36412.3700"
"0101010301","Aplicação Banco Um","2024-11-07","10.0.0007","6000.0000"
